,Unnamed: 0,product_name,review_date,review_content,review_star,review_writer,reveiw_replaced,replaced_review,문장벡터화
26970,26970,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.07.29,감사합니다 잘받았어요,3.0,pjh9****,"['감사하다', '받다']",감사하다,"[(371, 1)]"
26997,26997,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.07.22,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
저렴해서 먹일려고샀는데 아이는 먹기싫대요
냄새에 살짝 그런듯요",3.0,jisu***,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '저렴하다', '먹이다', '사다', '아이', '먹기', '싫다', '대요', '냄새', '살짝']",저렴하다 먹이다 사다 먹기 싫다 대요 냄새,"[(8, 1), (12, 1), (158, 1), (335, 1), (836, 1), (844, 1), (1816, 1)]"
26999,26999,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.07.22,"배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요
이 제품은 처음 먹어봅니다. 그러나 역시 비린내는 조금납니다~~",3.0,samk*****,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다', '제품', '처음', '먹다', '보다', '그러나', '역시', '비리다', '조금', '나다']",빨르다 제품 역시 비리다,"[(35, 1), (193, 1), (679, 1), (845, 1)]"
27006,27006,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.07.21,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
꾸준 하게 복용 하고있어요 ",3.0,cst8*************,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '꾸다', '하다', '복용', '하다']",꾸다 복용,"[(14, 1), (1069, 1)]"
27037,27037,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.07.12,배송 빨라요 성능 보통이에요 유통기한 보통이에요,3.0,adio***,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통']",빨르다,"[(845, 1)]"
27079,27079,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.07.06,"배송 보통이에요 성능 보통이에요 유통기한 기한이 넉넉해요
꾸준히 챙겨먹고 있어요.",3.0,muhu****,"['배송', '보통', '성능', '보통', '유통', '기한', '기한', '넉넉하다', '꾸준하다', '챙기다', '먹다', '있다']",꾸준하다,"[(226, 1)]"
27132,27132,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.06.22,"배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요
아직 먹기전이라  어떻다하기는그렇고
  잘 받았읍니다",3.0,auto********,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다', '아직', '먹다', '어떻다', '하기는', '그렇다', '자다', '받다', '읍니']",빨르다 아직 어떻다 하기는 그렇다 읍니,"[(30, 1), (74, 1), (510, 1), (845, 1), (1831, 1), (1973, 1)]"
27136,27136,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.06.21,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
잘 먹을께요.건강  챙겨야 할 나이라서 ㅋ",3.0,neth***,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '자다', '먹다', '건강', '챙기다', '하다', '나이']",건강 나이,"[(6, 1), (278, 1)]"
27137,27137,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.06.21,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
건강 챙겨야 할나이라서  잘먹을계요.",3.0,neth***,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '건강', '챙기다', '하다', '먹다']",건강,"[(6, 1)]"
27154,27154,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.06.18,배송 빨라요 성능 성능이 뛰어나요 유통기한 보통이에요,3.0,blue*******,"['배송', '빨르다', '성능', '성능', '뛰어나다', '유통', '기한', '보통']",빨르다 뛰어나다,"[(845, 1), (875, 1)]"
27261,27261,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.06.05,배송 빨라요 성능 성능이 뛰어나요 유통기한 기한이 넉넉해요,2.0,wuts***,"['배송', '빨르다', '성능', '성능', '뛰어나다', '유통', '기한', '기한', '넉넉하다']",빨르다 뛰어나다,"[(845, 1), (875, 1)]"
27275,27275,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.06.03,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
일단 복용후 평가.
애터미 밀크씨슬 을 교체함",3.0,hany*****,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '일단', '복용', '평가', '애터', '밉다', '밀크', '교체']",복용 평가 애터 밉다 밀크 교체,"[(14, 1), (182, 1), (1340, 1), (1758, 1), (1759, 1), (1974, 1)]"
27291,27291,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.05.31,배송 빨라요 성능 보통이에요 유통기한 보통이에요,3.0,leej**************************,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통']",빨르다,"[(845, 1)]"
27312,27312,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.05.26,배송 빨라요 성능 보통이에요 유통기한 보통이에요,3.0,다한산업,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통']",빨르다,"[(845, 1)]"
27314,27314,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.05.26,배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요,3.0,chh0***,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다']",빨르다,"[(845, 1)]"
27402,27402,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.05.15,"배송 빨라요 성능 보통이에요 유통기한 보통이에요
필요해서 산거라  그냥그래요",3.0,sjy0******,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통', '필요하다', '사다', '그냥', '그렇다']",빨르다 필요하다 사다 그렇다,"[(74, 1), (112, 1), (158, 1), (845, 1)]"
27425,27425,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.05.13,감사합니다 잘받았어요,3.0,pjh9****,"['감사하다', '받다']",감사하다,"[(371, 1)]"
27570,27570,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.04.21,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
감사합니다 
대한민국 ",3.0,dmsr*****,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '감사하다', '대한민국']",감사하다 대한민국,"[(371, 1), (1975, 1)]"
27591,27591,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.04.18,배송 빨라요 성능 성능이 뛰어나요 유통기한 기한이 넉넉해요,3.0,lim0**********************,"['배송', '빨르다', '성능', '성능', '뛰어나다', '유통', '기한', '기한', '넉넉하다']",빨르다 뛰어나다,"[(845, 1), (875, 1)]"
27592,27592,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.04.18,배송 빨라요 성능 성능이 뛰어나요 유통기한 기한이 넉넉해요,3.0,dol0***,"['배송', '빨르다', '성능', '성능', '뛰어나다', '유통', '기한', '기한', '넉넉하다']",빨르다 뛰어나다,"[(845, 1), (875, 1)]"
27599,27599,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.04.18,배송 빨라요 성능 보통이에요 유통기한 보통이에요,3.0,snow******,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통']",빨르다,"[(845, 1)]"
27607,27607,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.04.16,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
건강식품을자주구매하네요
꾸준히머코잇엉？",3.0,ejy1***,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '건강', '식품', '자주', '구매', '하다', '꾸준하다', '머코', '잇다']",건강 식품 자주 구매 꾸준하다 머코 잇다,"[(6, 1), (120, 1), (226, 1), (299, 1), (472, 1), (692, 1), (1976, 1)]"
27614,27614,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.04.14,배송 느려요 성능 보통이에요 유통기한 보통이에요,2.0,styl*****,"['배송', '느리다', '성능', '보통', '유통', '기한', '보통']",느리다,"[(2, 1)]"
27716,27716,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.03.31,배송 빨라요 성능 보통이에요 유통기한 보통이에요,3.0,kl57**,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통']",빨르다,"[(845, 1)]"
27717,27717,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.03.31,배송 빨라요 성능 보통이에요 유통기한 보통이에요,3.0,kl57**,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통']",빨르다,"[(845, 1)]"
27756,27756,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.03.22,"배송 느려요 성능 성능이 뛰어나요 유통기한 보통이에요
배송이 느려요~~~",3.0,hmh1***,"['배송', '느리다', '성능', '성능', '뛰어나다', '유통', '기한', '보통', '배송', '느리다']",느리다 뛰어나다 느리다,"[(2, 2), (875, 1)]"
27759,27759,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.03.22,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
처음구매했는 데 괜찮은것같아요",3.0,puri***,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '처음', '구매', '하다', '괜찮다', '같다']",구매 괜찮다,"[(119, 1), (120, 1)]"
27772,27772,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.03.18,"배송 빨라요 성능 성능이 별로예요 유통기한 기한이 넉넉해요
단백질함량보다 지방함량이 ？은걸 사고나서 확인했네요ㅠ",2.0,hsh5**,"['배송', '빨르다', '성능', '성능', '별로', '유통', '기한', '기한', '넉넉하다', '단백질', '함량', '지방함량', '사다', '확인', '하다']",빨르다 별로 단백질 함량 지방함량 사다 확인,"[(114, 1), (116, 1), (158, 1), (654, 1), (845, 1), (1977, 1), (1978, 1)]"
27782,27782,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.03.18,"배송 빨라요 성능 보통이에요 유통기한 보통이에요
빠른 배송 감사드립니다.",3.0,날으는 꿀돼지,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통', '빠르다', '배송', '감사', '드리다']",빨르다 감사 드리다,"[(333, 1), (845, 1), (928, 1)]"
27787,27787,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.03.17,배송 느려요 성능 성능이 별로예요 유통기한 기한이 짧아요,1.0,sunk***,"['배송', '느리다', '성능', '성능', '별로', '유통', '기한', '기한', '짧다']",느리다 별로 짧다,"[(2, 1), (246, 1), (654, 1)]"
27789,27789,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.03.17,배송 느려요 성능 성능이 별로예요 유통기한 기한이 짧아요,1.0,sunk***,"['배송', '느리다', '성능', '성능', '별로', '유통', '기한', '기한', '짧다']",느리다 별로 짧다,"[(2, 1), (246, 1), (654, 1)]"
27812,27812,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.03.13,배송 빨라요 성능 보통이에요 유통기한 보통이에요,3.0,dian******,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통']",빨르다,"[(845, 1)]"
27841,27841,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.03.10,배송 느려요 성능 보통이에요 유통기한 보통이에요,3.0,adio***,"['배송', '느리다', '성능', '보통', '유통', '기한', '보통']",느리다,"[(2, 1)]"
27891,27891,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.03.02,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
조아조아조아조아조아",3.0,qwsa****,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '좋다', '좋다']",좋다 좋다,"[(19, 2)]"
27948,27948,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.02.19,"배송 느려요 성능 보통이에요 유통기한 보통이에요
주문하고 일주일 후에 상품 받을 생각해야 합니다. ",2.0,seun********,"['배송', '느리다', '성능', '보통', '유통', '기한', '보통', '주문', '일주일', '상품', '받다', '생각', '하다', '하다']",느리다 주문 상품,"[(2, 1), (39, 1), (245, 1)]"
27978,27978,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.02.16,배송 느려요 성능 보통이에요 유통기한 보통이에요,3.0,saty**,"['배송', '느리다', '성능', '보통', '유통', '기한', '보통']",느리다,"[(2, 1)]"
28021,28021,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.02.11,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
오메가3 먹어보고 주문 다시할께요",3.0,lmc1***,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '오메가', '먹다', '보고', '주문', '다시', '하다']",오메가 주문 다시,"[(32, 1), (245, 1), (282, 1)]"
28084,28084,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.01.29,배송 빨라요 성능 보통이에요 유통기한 보통이에요,3.0,0207**,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통']",빨르다,"[(845, 1)]"
28126,28126,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.01.22,"배송 느려요 성능 보통이에요 유통기한 보통이에요
최악의 배송.선물할려고 포장케이스된걸로 더 비싸게 구입하고 후회막급.",1.0,두기,"['배송', '느리다', '성능', '보통', '유통', '기한', '보통', '최악', '배송', '선물', '하다', '포장', '케이스', '되다', '비싸다', '구입', '후회']",느리다 최악 선물 케이스 비싸다 구입 후회,"[(2, 1), (5, 1), (137, 1), (183, 1), (818, 1), (1076, 1), (1979, 1)]"
28221,28221,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.01.12,"배송 빨라요 성능 보통이에요 유통기한 보통이에요
아직 먹기전이라서 잘모르겠어요",3.0,hwan*****,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통', '아직', '먹다', '모르다']",빨르다 아직 모르다,"[(28, 1), (30, 1), (845, 1)]"
28240,28240,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.01.10,감사합니다 잘받았어요,3.0,pjh9****,"['감사하다', '받다']",감사하다,"[(371, 1)]"
28252,28252,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.01.07,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
알이 큰편이라 두개 삼키기 힘드네요",3.0,ckp4**,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '크다', '편이', '삼키다', '힘드다']",크다 편이 삼키다 힘드다,"[(336, 1), (663, 1), (1264, 1), (1465, 1)]"
28320,28320,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2022.01.01,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
쓸만한거",3.0,su09****,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '쓸다']",쓸다,"[(992, 1)]"
28354,28354,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.12.29,"배송 빨라요 성능 보통이에요 유통기한 보통이에요
빠른 배송 감사드립니다.",3.0,날으는 꿀돼지,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통', '빠르다', '배송', '감사', '드리다']",빨르다 감사 드리다,"[(333, 1), (845, 1), (928, 1)]"
28356,28356,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.12.29,"배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요
작아서 먹기 좋아요.
냄새가 비려요.",3.0,dist******,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다', '작다', '먹기', '좋다', '냄새', '비려']",빨르다 작다 먹기 좋다 냄새 비려,"[(8, 1), (12, 1), (19, 1), (435, 1), (845, 1), (1980, 1)]"
28389,28389,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.12.24,"배송 빨라요 성능 보통이에요 유통기한 보통이에요
늘 먹던거라 주문했어요~
효과는 더 먹어봐야 알꺼같아요",3.0,eana***,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통', '먹다', '주문', '하다', '효과', '먹다', '보다', '알다', '같다']",빨르다 주문 알다,"[(55, 1), (245, 1), (845, 1)]"
28435,28435,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.12.19,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
늘 먹는 아이  
꾸준히 먹어줘야죠  건강해야죠",3.0,책상,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '먹다', '아이', '꾸준하다', '먹어주다', '건강하다']",꾸준하다 먹어주다 건강하다,"[(226, 1), (619, 1), (1981, 1)]"
28447,28447,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.12.17,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
감사합니다",3.0,sm52*****,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '감사하다']",감사하다,"[(371, 1)]"
28502,28502,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.12.11,"배송 빨라요 성능 보통이에요 유통기한 보통이에요
잘받았습니다ㅎ",3.0,asd3****,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통', '받다']",빨르다,"[(845, 1)]"
28518,28518,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.12.10,배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요,3.0,달땡,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다']",빨르다,"[(845, 1)]"
28533,28533,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.12.09,배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요,3.0,달땡,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다']",빨르다,"[(845, 1)]"
28543,28543,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.12.08,배송 빨라요 성능 보통이에요 유통기한 보통이에요,3.0,즐겁지아니한가,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통']",빨르다,"[(845, 1)]"
28620,28620,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.11.26,"배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요
열심히  머고  있는데  아직   잘  모르겠어요",3.0,sunh*************************,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다', '열심히', '있다', '아직', '자다', '모르다']",빨르다 아직 모르다,"[(28, 1), (30, 1), (845, 1)]"
28645,28645,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.11.22,배송 느려요 성능 보통이에요 유통기한 보통이에요,3.0,kang**********,"['배송', '느리다', '성능', '보통', '유통', '기한', '보통']",느리다,"[(2, 1)]"
28665,28665,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.11.19,배송 느려요 성능 보통이에요 유통기한 보통이에요,3.0,kjh5*****,"['배송', '느리다', '성능', '보통', '유통', '기한', '보통']",느리다,"[(2, 1)]"
28689,28689,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.11.16,"배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요
구매하고 가격이 많이떨어져서 아쉬워요",3.0,짱기루,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다', '구매', '가격', '많이', '떨어지다', '아쉽다']",빨르다 구매 가격 떨어지다 아쉽다,"[(37, 1), (92, 1), (120, 1), (131, 1), (845, 1)]"
28715,28715,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.11.12,배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요,3.0,mira*****,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다']",빨르다,"[(845, 1)]"
28727,28727,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.11.11,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
믿고 구매했어요
비린내는 안나ㅡ",3.0,jke6**,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '믿다', '구매', '하다', '비리다', '안나']",믿다 구매 비리다 안나,"[(120, 1), (193, 1), (589, 1), (1774, 1)]"
28735,28735,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.11.10,"배송 빨라요 성능 보통이에요 유통기한 보통이에요
그냥그래요",3.0,2463***,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통', '그냥', '그렇다']",빨르다 그렇다,"[(74, 1), (845, 1)]"
28787,28787,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.11.03,"배송 빨라요 성능 성능이 뛰어나요 유통기한 보통이에요
재구매인데 괜찮아요",3.0,cbh1***,"['배송', '빨르다', '성능', '성능', '뛰어나다', '유통', '기한', '보통', '구매', '괜찮다']",빨르다 뛰어나다 구매 괜찮다,"[(119, 1), (120, 1), (845, 1), (875, 1)]"
28791,28791,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.11.03,배송 빨라요 성능 보통이에요 유통기한 보통이에요,3.0,sim3***,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통']",빨르다,"[(845, 1)]"
28810,28810,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.10.31,배송 빨라요 성능 보통이에요 유통기한 보통이에요,3.0,ms71***,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통']",빨르다,"[(845, 1)]"
28842,28842,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.10.21,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
하도 인기좋아브러서 사봅니다~~",3.0,dlad*****,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '하다', '인기', '좋다', '브러', '사보다']",인기 좋다 브러 사보다,"[(19, 1), (1343, 1), (1982, 1), (1983, 1)]"
28847,28847,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.10.20,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
생각한 그대로 모든면에서 보통 보통입니다 나중에 
다시 재구매를하겠습니다.",3.0,ikli*****,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '생각', '그대로', '보통', '보통', '이다', '나중', '다시', '구매', '하다']",그대로 다시 구매,"[(120, 1), (282, 1), (626, 1)]"
28857,28857,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.10.18,"배송 느려요 성능 성능이 별로예요 유통기한 기한이 짧아요
주문하고 바로 취소했는데 그냥 배송 보내버리네우",1.0,hgpr***,"['배송', '느리다', '성능', '성능', '별로', '유통', '기한', '기한', '짧다', '주문', '바로', '취소', '하다', '그냥', '배송', '내버리다']",느리다 별로 짧다 주문 취소 내버리다,"[(2, 1), (63, 1), (245, 1), (246, 1), (654, 1), (1984, 1)]"
28885,28885,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.10.15,"배송 빨라요 성능 보통이에요 유통기한 보통이에요
빠른 배송 감사드립니다.",3.0,날으는 꿀돼지,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통', '빠르다', '배송', '감사', '드리다']",빨르다 감사 드리다,"[(333, 1), (845, 1), (928, 1)]"
28974,28974,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.09.27,배송 느려요 성능 보통이에요 유통기한 보통이에요,3.0,rkfl****,"['배송', '느리다', '성능', '보통', '유통', '기한', '보통']",느리다,"[(2, 1)]"
29007,29007,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.09.17,"배송 보통이에요 성능 보통이에요 유통기한 기한이 넉넉해요
먹어보고 리뷰 다시 쓸께요^^~",3.0,애둥 사랑jak,"['배송', '보통', '성능', '보통', '유통', '기한', '기한', '넉넉하다', '먹다', '보고', '리뷰', '다시', '쓸다']",리뷰 다시 쓸다,"[(282, 1), (852, 1), (992, 1)]"
29021,29021,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.09.15,"배송 빨라요 성능 성능이 뛰어나요 유통기한 기한이 넉넉해요
좋아요~~~~~",3.0,abj5**,"['배송', '빨르다', '성능', '성능', '뛰어나다', '유통', '기한', '기한', '넉넉하다', '좋다']",빨르다 뛰어나다 좋다,"[(19, 1), (845, 1), (875, 1)]"
29022,29022,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.09.15,"배송 빨라요 성능 성능이 뛰어나요 유통기한 기한이 넉넉해요
좋아요~~~~",3.0,abj5**,"['배송', '빨르다', '성능', '성능', '뛰어나다', '유통', '기한', '기한', '넉넉하다', '좋다']",빨르다 뛰어나다 좋다,"[(19, 1), (845, 1), (875, 1)]"
29027,29027,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.09.15,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
일단 먹어 보고 기대됩니다",3.0,esin****,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '일단', '먹다', '보고', '기대', '되다']",기대,"[(807, 1)]"
29074,29074,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.09.07,"배송 빨라요 성능 성능이 뛰어나요 유통기한 기한이 넉넉해요
쿠폰받아 샀는데도 쿠팡보다 비싸네요~",3.0,gusg******,"['배송', '빨르다', '성능', '성능', '뛰어나다', '유통', '기한', '기한', '넉넉하다', '쿠폰', '받다', '사다', '쿠팡', '비싸다']",빨르다 뛰어나다 쿠폰 사다 쿠팡 비싸다,"[(5, 1), (158, 1), (210, 1), (845, 1), (875, 1), (955, 1)]"
29082,29082,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.09.06,배송 느려요 성능 성능이 뛰어나요 유통기한 기한이 넉넉해요,3.0,leed********,"['배송', '느리다', '성능', '성능', '뛰어나다', '유통', '기한', '기한', '넉넉하다']",느리다 뛰어나다,"[(2, 1), (875, 1)]"
29083,29083,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.09.06,배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요,3.0,njh3***,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다']",빨르다,"[(845, 1)]"
29087,29087,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.09.05,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
추석선물로  부모님께  드림",3.0,cmss****,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '추석', '선물', '부모님', '드림']",추석 선물 부모님,"[(476, 1), (787, 1), (818, 1)]"
29092,29092,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.09.04,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
아직  효과는  잘",3.0,abbb**,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '아직', '효과', '자다']",아직,"[(30, 1)]"
29105,29105,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.09.02,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
감사합니다",3.0,sm52*****,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '감사하다']",감사하다,"[(371, 1)]"
29140,29140,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.08.28,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
건가을위해 잘창겨먹어요",3.0,anyk****,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '가을', '위해', '자다', '창겨', '먹다']",가을 위해 창겨,"[(18, 1), (1985, 1), (1986, 1)]"
29141,29141,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.08.28,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
건긴ㅇ",3.0,anyk****,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '기다']",기다,"[(225, 1)]"
29170,29170,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.08.23,배송 빨라요 성능 성능이 뛰어나요 유통기한 기한이 넉넉해요,3.0,popo****,"['배송', '빨르다', '성능', '성능', '뛰어나다', '유통', '기한', '기한', '넉넉하다']",빨르다 뛰어나다,"[(845, 1), (875, 1)]"
29306,29306,[종근당건강]프로메가 알티지 오메가3 듀얼 3박스,2021.07.19,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
알이너무크다",3.0,wldu*******************,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '무크']",무크,"[(1987, 1)]"
