,product_name,review_date,review_content,review_star,review_writer,reveiw_replaced,stopremoved_reviews,okt_reviews,mecab_reviews,replaced_review
7098,"스완슨 설포라판 400mcg 베지 캡슐, 60정, 1개",2019.04.23,"1병당 4,770원에 구입했는데, 가격이 배 이상 올랐네요.
쿠팡이 싫어집니다.
귀찮아서 쿠팡에서만 계속 구매 왔는데, 다른 루트를 좀더 적극적으로 활용해야겠습니다.
제품은 괜찮아요. 폐건강을 위해 예방차원으로 복용해 왔습니다.
다음은 스완슨 홈페이지에서 직구해야 겠습니다. 이 제품 두개만 사도 배송비는 빠지고 남네요.",1.0,이*훈 ,"1병당 4,770원에 구입했는데, 가격이 배 이상 올랐네요.
쿠팡이 싫어집니다.
귀찮아서 쿠팡에서만 계속 구매 왔는데, 다른 루트를 좀더 적극적으로 활용해야겠습니다.
제품은 괜찮아요. 폐건강을 위해 예방차원으로 복용해 왔습니다.
다음은 스완슨 홈페이지에서 직구해야 겠습니다. 이 제품 두개만 사도 배송비는 빠지고 남네요.","1병당 4,770원에 구입했는데, 가격이 배 올랐네요. 쿠팡이 싫어집니다. 귀찮아서 쿠팡에서만 구매 왔는데, 루트를 적극적으로 활용해야겠습니다. 제품은 괜찮아요. 폐건강을 위해 예방차원으로 복용해 왔습니다. 다음은 스완슨 홈페이지에서 직구해야 겠습니다. 제품 두개만 사도 배송비는 빠지고 남네요.",구입 가격 쿠팡 구매 루트 활용 제품 건강 위해 예방 차원 복용 다음 스완슨 홈페이지 직구 사도 배송비,구입 가격 쿠팡 구매 루트 활용 제품 건강 위해 예방 차원 복용 다음 스완슨 홈페이지 직구 사도 배송,구입 가격 쿠팡 구매 루트 활용 제품 건강 위해 예방 차원 복용 다음 스완슨 홈페이지 직구 사도 배송
7099,"스완슨 설포라판 400mcg 베지 캡슐, 60정, 1개",2021.05.29,"한알에 400mgc = 0.4mg 인데,
예전처럼 한병에 4000원대였으면 모를까 지금 가격은 가성비가 너무 안좋습니다.
아브마콜이 똑같은 60알에 한알당 함량이 3mg 인데 가격이 5만원입니다.
수입사 및 쿠팡은 반성하기 바랍니다.
자세한건 첨부한 이미지 참고 바랍니다.",1.0,최*영 ,"한알에 400mgc = 0.4mg 인데,
예전처럼 한병에 4000원대였으면 모를까 지금 가격은 가성비가 너무 안좋습니다.
아브마콜이 똑같은 60알에 한알당 함량이 3mg 인데 가격이 5만원입니다.
수입사 및 쿠팡은 반성하기 바랍니다.
자세한건 첨부한 이미지 참고 바랍니다.","한알에 400mgc = 0.4mg 인데, 예전처럼 한병에 4000원대였으면 모를까 가격은 가성비가 안좋습니다. 아브마콜이 똑같은 60알에 한알당 함량이 3mg 가격이 5만원입니다. 수입사 쿠팡은 반성하기 바랍니다. 자세한건 첨부한 이미지 참고 바랍니다.",mgc mg 예전 가격 가성 아브마콜 똑같다 함량 입사 쿠팡 반성 자세하다 첨부 이미지 참고,mgc mg 예전 가격 가성 아브 똑같 함량 입사 쿠팡 반성 자세 첨부 이미지 참고,mgc mg 예전 가격 가성 아브 똑같 함량 입사 쿠팡 반성 자세 첨부 이미지 참고
7100,"스완슨 설포라판 400mcg 베지 캡슐, 60정, 1개",2020.04.30,쿠팡에서 이제품 판매할때 가격이 미국 스완슨 할인된 직구 가격이랑 똑같았는데 잘팔리니 가격이 미친듯이 올랐네요 이 제품만 구매하실분들은 그냥 직구하세요 리뷰중에 타제품 대비 함량이 낮다고 하시는분들 계시는데 함량보단 활성화제품인지를 더 보시는게 좋을거 같네요 제품은 좋으나 지금은 구매 안하시는게 좋을거같네요,1.0,김*현 ,쿠팡에서 이제품 판매할때 가격이 미국 스완슨 할인된 직구 가격이랑 똑같았는데 잘팔리니 가격이 미친듯이 올랐네요 이 제품만 구매하실분들은 그냥 직구하세요 리뷰중에 타제품 대비 함량이 낮다고 하시는분들 계시는데 함량보단 활성화제품인지를 더 보시는게 좋을거 같네요 제품은 좋으나 지금은 구매 안하시는게 좋을거같네요,쿠팡에서 이제품 판매할때 가격이 미국 스완슨 할인된 직구 가격이랑 똑같았는데 잘팔리니 가격이 미친듯이 올랐네요 제품만 구매하실분들은 직구하세요 리뷰중에 타제품 대비 함량이 낮다고 하시는분들 계시는데 함량보단 활성화제품인지를 더 보시는게 좋을거 같네요 제품은 좋으나 지금은 구매 안하시는게 좋을거같네요,쿠팡 제품 판매 하다 가격 미국 스완슨 할인 되다 직구 구매 리뷰 대비 함량 활성화 지금 안 인지,쿠팡 제품 판매 가격 미국 스완슨 할인 되 직구 구매 리뷰 대비 함량 활성 지금 안 인지,쿠팡 제품 판매 가격 미국 스완슨 할인 되 직구 구매 리뷰 대비 함량 활성 지금 안 인지
7105,"스완슨 설포라판 400mcg 베지 캡슐, 60정, 1개",2022.06.08,배송와서 바로 까봤어요 분명 60정을 시켰는데 겉보기에 너무너무 적어보여서 세봤는데 13정밖에 없더라구요.. 바로 교환신청은 해놨는데 너무 번거롭네요 다음부턴 검수 잘 하고 보내주시길..,1.0,김*원 ,배송와서 바로 까봤어요 분명 60정을 시켰는데 겉보기에 너무너무 적어보여서 세봤는데 13정밖에 없더라구요.. 바로 교환신청은 해놨는데 너무 번거롭네요 다음부턴 검수 잘 하고 보내주시길..,배송와서 까봤어요 분명 60정을 시켰는데 겉보기에 너무너무 적어보여서 세봤는데 13정밖에 없더라구요.. 교환신청은 해놨는데 번거롭네요 다음부턴 검수 잘 보내주시길..,배송 분명 겉보기 어보 교환 신청 다음 검수,배송 분명 겉보기 어보 교환 신청 다음 검수,배송 분명 겉보기 어보 교환 신청 다음 검수
7111,"스완슨 설포라판 400mcg 베지 캡슐, 60정, 4개",2023.03.17,"이거먹음 기운이난다하는데 전 기분이 확욱하는느낌
설포라판이 십자화과 야채에들어있는거라는데 그게안맞는사람이 있다네요 저도그렇고 저희시어머니도 이것만먹으면 기분이 욱한다고해요 긴가민가 하다 저도시어머니도 안먹으니 평소처럼 괜찮아서 버렸어요",1.0,김*후 ,"이거먹음 기운이난다하는데 전 기분이 확욱하는느낌
설포라판이 십자화과 야채에들어있는거라는데 그게안맞는사람이 있다네요 저도그렇고 저희시어머니도 이것만먹으면 기분이 욱한다고해요 긴가민가 하다 저도시어머니도 안먹으니 평소처럼 괜찮아서 버렸어요",이거먹음 기운이난다하는데 전 기분이 확욱하는느낌 설포라판이 십자화과 야채에들어있는거라는데 그게안맞는사람이 있다네요 저도그렇고 저희시어머니도 이것만먹으면 기분이 욱한다고해요 긴가민가 하다 저도시어머니도 안먹으니 평소처럼 괜찮아서 버렸어요,먹음 기운 기분 확욱 하다 느낌 설포 판이 십자 야채 그게 안 맞다 사람 시어머니 고해 민가 도시 어머니 평소,먹 기운 기분 확 하 느낌 십자 야채 그게 안 맞 사람 시어머니 고해 민가 도시 어머니 평소,먹 기운 기분 확 하 느낌 십자 야채 그게 안 맞 사람 시어머니 고해 민가 도시 어머니 평소
7164,"한미 황제골드 100ml x 10병 안전포장 피로회복 지친 수험생 활력충전 육체피로, 기타",2023.07.05,선물 드릴려고 주문한거였는데 포장을 저 따구로...ㅠ 이번이 2번째 구매인데 첫번째 주문할땐 박스도 컸고 손잡이 이써 아주 편했는데 이번에 흠..포장은 신문지에 잘 덮혀있어 잇긴했지만 드링크 박스는 누가 그랬을까요??매우 실망이네요,1.0,낮잠공쥬 ,선물 드릴려고 주문한거였는데 포장을 저 따구로...ㅠ 이번이 2번째 구매인데 첫번째 주문할땐 박스도 컸고 손잡이 이써 아주 편했는데 이번에 흠..포장은 신문지에 잘 덮혀있어 잇긴했지만 드링크 박스는 누가 그랬을까요??매우 실망이네요,선물 드릴려고 주문한거였는데 포장을 따구로...ㅠ 이번이 2번째 구매인데 첫번째 주문할땐 박스도 컸고 손잡이 이써 편했는데 이번에 흠..포장은 신문지에 잘 덮혀있어 잇긴했지만 드링크 박스는 그랬을까요??매우 실망이네요,선물 포장 이번 구매 주문 하다 박스 손잡이 신문지 링크 매우 실망,선물 포장 이번 구매 주문 하 박스 손잡이 신문지 링크 매우 실망,선물 포장 이번 구매 주문 하 박스 손잡이 신문지 링크 매우 실망
7202,"세노비스 마그네슘, 90정, 1개",2023.05.15,"[[ 내돈내산, 솔직한리뷰입니다 ]]

✅ 구매일 : 23년 5월 1일 ,
요즘 들어서 불면증이 생기면서 밤에 잠이 들때 한참 뒤척여서 피곤함에 찌들어서 출근을 하니 피곤하고 일할때도 힘들고해서 전에 매일 챙겨먹었던 마그네슘을 다시 먹어 보자해서 주문.

✔장점
ㆍ목 넘김이 불편하지 않다.
ㆍ티비에 많이 나오는 브랜드가 주는 신뢰감이 있다.

✔단점
ㆍ화학성분들이 많다.

# 총평
2cm조금 안되는 크기인데 기존이 먹는 칼슘보다 크가가 커서 불편하지않을까 했는데 생각보다 목에 걸리지않아서 먹기 불편하지 않았다. 가격적인면에서도 크게 비싼편은 아니라서 좋기는 한데 유명한 브랜드라고 해서 무조건 성분이 좋을것이다 라는 생각을 가진다면 큰 오산. 화학성분이 몇개 들어있는걸 알면서 구매를 했다. 브랜드를 믿고. 하루 먹어야하는 마그네슘 권장량 한알이면 충분했고 아직까지 먹었을때 부작용없이 복용중. 안맞는사람들은 설사를 한다는 이야기도 있지만 아직까지 그런건 없고 일단은 3달은 먹어봐야 효과이있는지 알수있을듯.

☻ 재구매의사 : ■■■□□

❣️제 리뷰가 조금이나마 도움이 되셨기를 바라며, [도움이 돼요] 꼬옥 꼭! 눌러주시면 감사하겠습니다 :) 언니,누나,오빠,행님들의 따뜻한 클릭만으로 오늘도 솔직한 리뷰 달리겠습니다. 충성 ❣️",2.0,우지훈 ,"[[ 내돈내산, 솔직한리뷰입니다 ]]

✅ 구매일 : 23년 5월 1일 ,
요즘 들어서 불면증이 생기면서 밤에 잠이 들때 한참 뒤척여서 피곤함에 찌들어서 출근을 하니 피곤하고 일할때도 힘들고해서 전에 매일 챙겨먹었던 마그네슘을 다시 먹어 보자해서 주문.

✔장점
ㆍ목 넘김이 불편하지 않다.
ㆍ티비에 많이 나오는 브랜드가 주는 신뢰감이 있다.

✔단점
ㆍ화학성분들이 많다.

# 총평
2cm조금 안되는 크기인데 기존이 먹는 칼슘보다 크가가 커서 불편하지않을까 했는데 생각보다 목에 걸리지않아서 먹기 불편하지 않았다. 가격적인면에서도 크게 비싼편은 아니라서 좋기는 한데 유명한 브랜드라고 해서 무조건 성분이 좋을것이다 라는 생각을 가진다면 큰 오산. 화학성분이 몇개 들어있는걸 알면서 구매를 했다. 브랜드를 믿고. 하루 먹어야하는 마그네슘 권장량 한알이면 충분했고 아직까지 먹었을때 부작용없이 복용중. 안맞는사람들은 설사를 한다는 이야기도 있지만 아직까지 그런건 없고 일단은 3달은 먹어봐야 효과이있는지 알수있을듯.

☻ 재구매의사 : ■■■□□

❣️제 리뷰가 조금이나마 도움이 되셨기를 바라며, [도움이 돼요] 꼬옥 꼭! 눌러주시면 감사하겠습니다 :) 언니,누나,오빠,행님들의 따뜻한 클릭만으로 오늘도 솔직한 리뷰 달리겠습니다. 충성 ❣️","[[ 내돈내산, 솔직한리뷰입니다 ]] ✅ 구매일 : 23년 5월 1일 , 들어서 불면증이 생기면서 밤에 잠이 들때 뒤척여서 피곤함에 찌들어서 출근을 하니 피곤하고 일할때도 힘들고해서 전에 챙겨먹었던 마그네슘을 다시 먹어 보자해서 주문. ✔장점 ㆍ목 넘김이 불편하지 않다. ㆍ티비에 나오는 브랜드가 주는 신뢰감이 있다. ✔단점 ㆍ화학성분들이 많다. # 총평 2cm조금 안되는 크기인데 기존이 먹는 칼슘보다 크가가 커서 불편하지않을까 생각보다 목에 걸리지않아서 먹기 불편하지 않았다. 가격적인면에서도 크게 비싼편은 아니라서 좋기는 유명한 브랜드라고 무조건 성분이 좋을것이다 생각을 가진다면 큰 오산. 화학성분이 몇개 들어있는걸 알면서 구매를 했다. 브랜드를 믿고. 먹어야하는 마그네슘 권장량 한알이면 충분했고 아직까지 먹었을때 부작용없이 복용중. 안맞는사람들은 설사를 한다는 이야기도 있지만 아직까지 그런건 없고 일단은 3달은 먹어봐야 효과이있는지 알수있을듯. ☻ 재구매의사 : ■■■□□ ❣️제 리뷰가 조금이나마 도움이 되셨기를 바라며, [도움이 돼요] 꼬옥 꼭! 눌러주시면 감사하겠습니다 :) 언니,누나,오빠,행님들의 따뜻한 클릭만으로 오늘도 솔직한 리뷰 달리겠습니다. 충성 ❣️",돈 솔직하다 리뷰 매일 불면증 뒤척 출근 하니 힘들다 마그네슘 다시 주문 장점 넘김 티비 브랜드 신뢰 단점 화학 성분 cm 조금 안되다 크기 기존 칼슘 커서 생각 먹기 가격 크게 비싸다 유명하다 무조건 오산 몇개 구매 야하다 장량 부작용 복용 맞다 사람 설사 이야기 일단 효과 의사 도움 언니 누나 오빠 따뜻하다 클릭 오늘 충성 고해,돈 솔직 리뷰 매일 불면증 뒤척 출근 힘들 마그네슘 다시 주문 장점 넘김 티비 브랜드 신뢰 단점 화학 성분 cm 조금 안 되 크기 기존 칼슘 커서 생각 먹 가격 크 비싸 유명 무조건 오산 구매 야하 장량 부작용 복용 맞 사람 설사 이야기 일단 효과 의사 도움 언니 누나 오빠 따뜻 클릭 오늘 충성 고해,돈 솔직 리뷰 매일 불면증 뒤척 출근 힘들 마그네슘 다시 주문 장점 넘김 티비 브랜드 신뢰 단점 화학 성분 cm 조금 안 되 크기 기존 칼슘 커서 생각 먹 가격 크 비싸 유명 무조건 오산 구매 야하 장량 부작용 복용 맞 사람 설사 이야기 일단 효과 의사 도움 언니 누나 오빠 따뜻 클릭 오늘 충성 고해
7317,"나우푸드 리퀴드 클로로필, 473ml, 1개",2016.09.08,사대강 녹조라떼가 혹시 이런 색을 띄고 있었을까요? 치약 맛이 나고 아주 역겹습니다. 비위가 정말 좋아야 참고 다 먹을 수 있어요. 웬만하면 클로로필은 알약 타입으로 사시고 액상 타입은 추천 안 합니다.,1.0,김*지 ,사대강 녹조라떼가 혹시 이런 색을 띄고 있었을까요? 치약 맛이 나고 아주 역겹습니다. 비위가 정말 좋아야 참고 다 먹을 수 있어요. 웬만하면 클로로필은 알약 타입으로 사시고 액상 타입은 추천 안 합니다.,사대강 녹조라떼가 색을 띄고 있었을까요? 치약 맛이 나고 역겹습니다. 비위가 정말 좋아야 참고 다 먹을 수 있어요. 웬만하면 클로로필은 알약 타입으로 사시고 액상 타입은 추천 안 합니다.,사대강 녹조 라떼 치약 비위 정말 참고 웬만하다 클로로필 알약 타입 사시 추천 안,대강 녹조 라떼 치약 비위 정말 참고 웬만 클로로필 알약 타입 사시 추천 안,대강 녹조 라떼 치약 비위 정말 참고 웬만 클로로필 알약 타입 사시 추천 안
7327,"나우푸드 리퀴드 클로로필, 473ml, 1개",2018.05.26,"먹기 너무 불편해요...줄줄 흐르고 샌거 옷에 뭍은거 빨리 안지우면
풀 묵은내? 같이 납니다 ㅠㅠ 다음에는 알약타입으로 구입하려구요",2.0,이*윤 ,"먹기 너무 불편해요...줄줄 흐르고 샌거 옷에 뭍은거 빨리 안지우면
풀 묵은내? 같이 납니다 ㅠㅠ 다음에는 알약타입으로 구입하려구요",먹기 불편해요...줄줄 흐르고 샌거 옷에 뭍은거 빨리 안지우면 풀 묵은내? 납니다 ㅠㅠ 다음에는 알약타입으로 구입하려구요,먹기 줄줄 안지우 다음 알약 타입 구입,먹 줄줄 안 지우 다음 알약 타입 구입,먹 줄줄 안 지우 다음 알약 타입 구입
7368,"GNC 우먼스 울트라메가 액티브 비타민&미네랄, 90정, 1개",2021.05.28,"백화점 사이트에서 구매하다
처음으로 쿠팡에서 구매해봤는데요.
제가 이 제품 5년 넘게 먹고 있거든요
근데 포장도 엄청 허접하고
알 색상도 다르고 ㅜㅜ
제조번호/ 유통기한 페인팅은 그냥 쓰~~ 문지르면
지워질것 같고 ㅜㅜ
프랑스산??? 음...
계속 먹어야 할지
고민중이요",2.0,이* ,"백화점 사이트에서 구매하다
처음으로 쿠팡에서 구매해봤는데요.
제가 이 제품 5년 넘게 먹고 있거든요
근데 포장도 엄청 허접하고
알 색상도 다르고 ㅜㅜ
제조번호/ 유통기한 페인팅은 그냥 쓰~~ 문지르면
지워질것 같고 ㅜㅜ
프랑스산??? 음...
계속 먹어야 할지
고민중이요",백화점 사이트에서 구매하다 처음으로 쿠팡에서 구매해봤는데요. 제가 제품 5년 넘게 먹고 있거든요 근데 포장도 엄청 허접하고 알 색상도 다르고 ㅜㅜ 제조번호/ 유통기한 페인팅은 쓰~~ 문지르면 지워질것 같고 ㅜㅜ 프랑스산??? 음... 먹어야 할지 고민중이요,백화점 사이트 구매 처음 쿠팡 제품 포장 색상 제조 번호 유통 기한 페인 프랑스 고민 중이,백화점 사이트 구매 처음 쿠팡 제품 포장 색상 제조 번호 유통 기한 페인 프랑스 고민,백화점 사이트 구매 처음 쿠팡 제품 포장 색상 제조 번호 유통 기한 페인 프랑스 고민
7378,"GNC 우먼스 울트라메가 액티브 비타민&미네랄, 90정, 1개",2020.12.17,이 영양제만 먹으면 속이 너무 매쓰거워서 못먹겠어요ㅠㅠ,1.0,박* ,이 영양제만 먹으면 속이 너무 매쓰거워서 못먹겠어요ㅠㅠ,영양제만 먹으면 속이 매쓰거워서 못먹겠어요ㅠㅠ,영양 제만,영양 제만,영양 제만
7392,"GNC 우먼스 울트라메가 액티브 비타민&미네랄, 90정, 1개",2020.09.16,크기가 너무 커요... 삼키기 힘듬..;,2.0,김*진 ,크기가 너무 커요... 삼키기 힘듬..;,크기가 커요... 삼키기 힘듬..;,크기,크기,크기
7412,"나우푸드 우먼스 프로바이오틱 유산균 200억 베지 캡슐, 50개입, 1개, 50정",2018.03.03,"가족 전부 다 가스 엄청나게 생기고 변비왔어요
안 맞아서 그렇겠죠... 남은 한 통은 아까워서 어떻게 해야 할지 ㅡㅡ 원래 1일 1쾌변 이었는데 이거 먹은뒤로는... ㅠㅠ 가스는 또 어찌나 많이 차는지... 아 진짜 괜히 먹었어요


안 먹으니까 정상으로 돌아왔어요",1.0,쿠팡실구매자 ,"가족 전부 다 가스 엄청나게 생기고 변비왔어요
안 맞아서 그렇겠죠... 남은 한 통은 아까워서 어떻게 해야 할지 ㅡㅡ 원래 1일 1쾌변 이었는데 이거 먹은뒤로는... ㅠㅠ 가스는 또 어찌나 많이 차는지... 아 진짜 괜히 먹었어요


안 먹으니까 정상으로 돌아왔어요",가족 다 가스 엄청나게 생기고 변비왔어요 안 맞아서 그렇겠죠... 남은 한 통은 아까워서 어떻게 해야 할지 ㅡㅡ 1일 1쾌변 이었는데 먹은뒤로는... ㅠㅠ 가스는 어찌나 차는지... 괜히 먹었어요 안 먹으니까 정상으로 돌아왔어요,가족 가스 생기 변비 쾌변 정상,가족 가스 생기 변비 쾌변 정상,가족 가스 생기 변비 쾌변 정상
7428,"나우푸드 우먼스 프로바이오틱 유산균 200억 베지 캡슐, 50개입, 4개, 50정",2023.04.18,"정말 개염없이 판매하는 곳 입니다!
다른 판매처에서 구매 하세요",1.0,김*재 ,"정말 개염없이 판매하는 곳 입니다!
다른 판매처에서 구매 하세요",정말 개염없이 판매하는 곳 입니다! 판매처에서 구매 하세요,정말 개염 판매 하다 구매,정말 개염 판매 구매,정말 개염 판매 구매
7509,"대웅제약 에너씨슬 콜레다운, 60정, 1개",2022.07.16,"대웅제약 우루사 로 많이알려져서 믿고구매한건데 판매만 하고 제조는 코스맥스바이오 입니다
우쨋든 구매한거니 먹기는 하겠지만 재구매는 안하려구요
병원에서 간건강 안좋게 나와서 신경써서 구매한건데...ㅠ",2.0,신*수 ,"대웅제약 우루사 로 많이알려져서 믿고구매한건데 판매만 하고 제조는 코스맥스바이오 입니다
우쨋든 구매한거니 먹기는 하겠지만 재구매는 안하려구요
병원에서 간건강 안좋게 나와서 신경써서 구매한건데...ㅠ",대웅제약 우루사 많이알려져서 믿고구매한건데 판매만 제조는 코스맥스바이오 우쨋든 구매한거니 먹기는 하겠지만 재구매는 안하려구요 병원에서 간건강 안좋게 신경써서 구매한건데...ㅠ,대웅제약 우루사 구매 판매 제조 코스 맥스 바이오 우쨋 먹기 병원 건강 신경,대웅 제약 우루 구매 판매 제조 코스 맥스 바이오 먹 병원 건강 신경,대웅 제약 우루 구매 판매 제조 코스 맥스 바이오 먹 병원 건강 신경
7538,"내츄럴플러스 엔쵸비 오메가3 1100, 216.216g, 1개",2021.08.01,"비릿내트름 굉장합니다!!!ㅠㅠ 매일 섭취하지만 증말 비려요 너무.

뭐 상품은 파손되지 않게 잘 보내주셨고요. 하루에 식사중 두 알 섭취하고 멸치에서 추출한 데다 epa+dha 총 합이 1,100mg이라 만족합니다.",2.0,빅머슬7 ,"비릿내트름 굉장합니다!!!ㅠㅠ 매일 섭취하지만 증말 비려요 너무.

뭐 상품은 파손되지 않게 잘 보내주셨고요. 하루에 식사중 두 알 섭취하고 멸치에서 추출한 데다 epa+dha 총 합이 1,100mg이라 만족합니다.","비릿내트름 굉장합니다!!!ㅠㅠ 섭취하지만 증말 비려요 너무. 뭐 상품은 파손되지 않게 잘 보내주셨고요. 하루에 식사중 두 알 섭취하고 멸치에서 추출한 데다 epa+dha 총 합이 1,100mg이라 만족합니다.",비릿내트름 섭취 증말 비려 상품 파손 하루 식사 멸치 추출 epa dha mg,비릿 트름 섭취 증말 비려 상품 파손 하루 식사 멸치 추출 epa dha mg,비릿 트름 섭취 증말 비려 상품 파손 하루 식사 멸치 추출 epa dha mg
7585,"나우푸드 아슈와간다 450mg 베지 캡슐, 180개입, 1개",2019.12.05,메스꺼움 느낀분 안계신가요? 4알까진 먹었는데 이제 포기합니다ㅠㅠㅠ,1.0,도움이됐쥬 ,메스꺼움 느낀분 안계신가요? 4알까진 먹었는데 이제 포기합니다ㅠㅠㅠ,메스꺼움 느낀분 안계신가요? 4알까진 먹었는데 포기합니다ㅠㅠㅠ,메스꺼움 느끼다 포기,메스꺼움 느끼 포기,메스꺼움 느끼 포기
7586,"나우푸드 아슈와간다 450mg 베지 캡슐, 180개입, 1개",2023.04.25,하루 세알 몇일 먹은 결과 죽는줄 ㅠ 복용법즘 제대로 올려놓지ᆢ찾아보니 450미리는 하루 한알이라는데 으~설사 종일하고 토하고 복통 심해서큰병 난줄 ᆢ몇일 중단 하니 다행이 괸찮아짐,2.0,조*애 ,하루 세알 몇일 먹은 결과 죽는줄 ㅠ 복용법즘 제대로 올려놓지ᆢ찾아보니 450미리는 하루 한알이라는데 으~설사 종일하고 토하고 복통 심해서큰병 난줄 ᆢ몇일 중단 하니 다행이 괸찮아짐,세알 먹은 결과 죽는줄 ㅠ 복용법즘 제대로 올려놓지ᆢ찾아보니 450미리는 한알이라는데 으~설사 종일하고 토하고 복통 심해서큰병 난줄 ᆢ몇일 중단 하니 다행이 괸찮아짐,먹다 결과 용법 제대로 미리 설사 종일 복통 중단 하니 다행 괸찮아짐,먹 결과 용법 제대로 미리 설사 종일 복통 중단 다행 찮아,먹 결과 용법 제대로 미리 설사 종일 복통 중단 다행 찮아
7601,"나우푸드 아슈와간다 450mg 베지 캡슐, 180개입, 1개",2020.01.28,함량이 너무 낮아요 배송은 빠름,2.0,차*훈 ,함량이 너무 낮아요 배송은 빠름,함량이 낮아요 배송은 빠름,함량 배송,함량 배송,함량 배송
7604,"나우푸드 아슈와간다 450mg 베지 캡슐 비건, 90개입, 2개",2023.07.09,"아무효과없어요~엄마도,저도 ㅠㅠ",1.0,박*희 ,"아무효과없어요~엄마도,저도 ㅠㅠ","아무효과없어요~엄마도,저도 ㅠㅠ",효과 엄마,효과 엄마,효과 엄마
7715,"나우푸드 사카라미세스 보울라디 베지 캡슐 비건, 60개입, 1개, 60정",2020.11.23,"위장 안좋으신 분들은 고려하세요.
만성 위장염인데 먹고 며칠동안 음식 먹을 때 마다 체했어요.
약 끊으니 서서히 나아지네요. 지금 1달이 지났는데도 아직 위장이 덜 화복됐어요. 참고로 20대입니다",2.0,seaeaes ,"위장 안좋으신 분들은 고려하세요.
만성 위장염인데 먹고 며칠동안 음식 먹을 때 마다 체했어요.
약 끊으니 서서히 나아지네요. 지금 1달이 지났는데도 아직 위장이 덜 화복됐어요. 참고로 20대입니다",위장 안좋으신 분들은 고려하세요. 만성 위장염인데 먹고 며칠동안 음식 먹을 체했어요. 약 끊으니 서서히 나아지네요. 1달이 지났는데도 아직 위장이 덜 화복됐어요. 참고로 20대입니다,위장 안좋다 고려 만성 위장염 며칠 동안 음식 먹다 서서히 달이 화복 참고 대입,위장 안 좋 고려 만성 위장염 며칠 동안 음식 먹 서서히 화복 참고 대입,위장 안 좋 고려 만성 위장염 며칠 동안 음식 먹 서서히 화복 참고 대입
7738,"나우푸드 사카라미세스 보울라디 베지 캡슐 비건, 60개입, 1개, 60정",2019.09.27,"now 사 boulardii 만먹으면 피부가뒤집어지고
배에 가스가찹니다.",1.0,표*솔 ,"now 사 boulardii 만먹으면 피부가뒤집어지고
배에 가스가찹니다.",now boulardii 만먹으면 피부가뒤집어지고 배에 가스가찹니다.,now boulardii 먹다 피부 가스,now boulardii 먹 피부 가스,now boulardii 먹 피부 가스
8081,"대웅제약 에너씨슬 콜레다운 밀크씨슬 홍국, 30정, 22.5g, 1개",2022.09.12,"아쉬운 한달 다른곳보다 천원안쪽으로
더 주었네요
남편복용이라서요.
저도 드셔야는데 챙겨먹기 구찬쵸!",2.0,이희빈 ,"아쉬운 한달 다른곳보다 천원안쪽으로
더 주었네요
남편복용이라서요.
저도 드셔야는데 챙겨먹기 구찬쵸!",아쉬운 다른곳보다 천원안쪽으로 더 주었네요 남편복용이라서요. 저도 드셔야는데 챙겨먹기 구찬쵸!,아쉽다 천원 안쪽 남편 복용 먹기,아쉽 안쪽 남편 복용 먹,아쉽 안쪽 남편 복용 먹
8085,"대웅제약 에너씨슬 콜레다운, 60캡슐, 51g, 1개",2021.11.23,두달 되가는데 피검사결과 큰 변화가 없네요...,1.0,정*영 ,두달 되가는데 피검사결과 큰 변화가 없네요...,두달 되가는데 피검사결과 큰 변화가 없네요...,검사 결과 크다 변화,검사 결과 크다 변화,검사 결과 크다 변화
8153,"종근당건강 그린 스피루리나, 120정, 1개",2020.04.20,"스피루리나가 활성산소를 없애는데 탁월하다고 해 구매해봤는데, 저랑은 안 맞는것 같아요ㅠㅠ

이틀동안 먹어봤는데 장 활동에 좀 불쾌하게? 작용하는것같아요.
유산균 먹었을때와는 틀리게 배가 꾸룩꾸룩 아팠어요.",2.0,킬리언 ,"스피루리나가 활성산소를 없애는데 탁월하다고 해 구매해봤는데, 저랑은 안 맞는것 같아요ㅠㅠ

이틀동안 먹어봤는데 장 활동에 좀 불쾌하게? 작용하는것같아요.
유산균 먹었을때와는 틀리게 배가 꾸룩꾸룩 아팠어요.","스피루리나가 활성산소를 없애는데 탁월하다고 해 구매해봤는데, 저랑은 안 맞는것 같아요ㅠㅠ 이틀동안 먹어봤는데 장 활동에 불쾌하게? 작용하는것같아요. 유산균 먹었을때와는 틀리게 배가 꾸룩꾸룩 아팠어요.",스피루리나 활성산소 구매 이틀 동안 활동 작용 유산균 먹다 꾸룩꾸룩,스피 루리 활성산소 구매 이틀 동안 활동 작용 유산균 먹 꾸룩꾸룩,스피 루리 활성산소 구매 이틀 동안 활동 작용 유산균 먹 꾸룩꾸룩
